id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,genre
5zA8vzDGqPl2AzZkEYQGKh,Uptown Girl,Billy Joel,197706,1983-08-08,1983,0.0755,0.701,0.944,0.0,0.601,-2.986,0.0455,128.993,0.792,1.0,4.0,82,False,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock"
1jDJFeK9x3OZboIAHsY9k2,I'm Still Standing,Elton John,183440,1983-05-30,1983,0.355,0.505,0.904,0.118,0.14,-6.863,0.179,176.811,0.773,1.0,6.0,84,False,"glam rock, mellow gold, piano rock, rock"
0pUVeEgZuNyFzIMKp67RbS,Eyes Without A Face,Billy Idol,299240,1983-11-01,1983,0.0177,0.54,0.816,0.00226,0.276,-6.197,0.0421,85.563,0.658,1.0,9.0,78,False,"album rock, classic rock, dance rock, hard rock, new romantic, new wave, new wave pop, rock, soft rock"
3yWAyRHfclztY1TzF2gAUD,Always Something There to Remind Me - 2018 Remaster,Naked Eyes,219373,1983-01-01,1983,0.127,0.611,0.777,0.0,0.519,-5.853,0.0376,149.26,0.682,1.0,7.0,63,False,"new romantic, new wave pop, synthpop"
2EEinN4Zk8MUv4OQuLsTBj,Age of Consent - 2015 Remaster,New Order,315333,1983-05-02,1983,0.00101,0.372,0.91,0.0944,0.13,-5.559,0.0392,161.964,0.756,1.0,2.0,63,False,"alternative rock, dance rock, madchester, new romantic, new wave, permanent wave, post-punk, synthpop, uk post-punk"
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,"Eurythmics, Annie Lennox, Dave Stewart",216933,1983-01-04,1983,0.225,0.692,0.711,0.0,0.12,-7.498,0.0317,125.135,0.875,0.0,0.0,85,False,"dance rock, new romantic, new wave, new wave pop, soft rock, sophisti-pop, synthpop"
53Za5vyGc1x7GxgJVRjRKc,Ain't Nobody,"Rufus, Chaka Khan",285253,1983,1983,0.258,0.825,0.811,0.000276,0.132,-9.226,0.0524,104.28,0.789,0.0,10.0,67,False,"classic soul, disco, funk, motown, p funk, post-disco, quiet storm, soul, southern soul"
38Lf9Im0jQhAaKx8ehQM1S,Authority Song,John Mellencamp,229240,1983,1983,0.00399,0.495,0.969,2.55e-05,0.404,-4.994,0.0427,156.135,0.966,1.0,2.0,58,False,"album rock, classic rock, country rock, folk rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock"
7o9uu2GDtVDr9nsR7ZRN73,Time After Time,Cyndi Lauper,241333,1983-10-14,1983,0.487,0.726,0.449,1.34e-06,0.0824,-9.206,0.0286,130.388,0.294,1.0,0.0,80,False,"dance pop, new wave pop, permanent wave, soft rock"
4ucjm7jDReA0IFHGfzOtoZ,All Right,Christopher Cross,259532,1983-01-31,1983,0.167,0.713,0.21,0.0,0.194,-23.74,0.0434,132.722,0.551,0.0,6.0,52,False,"mellow gold, soft rock, yacht rock"
61QW3AcU1jm5ttPOn8eZhn,Add It Up,Violent Femmes,284333,1983-01-01,1983,0.273,0.41,0.763,1.29e-05,0.0553,-7.904,0.337,171.956,0.649,1.0,4.0,55,True,"acoustic punk, alternative rock, punk"
2zFdsAIk9r2Mi7Lmm1w3sM,That's All - 2007 Remaster,Genesis,264573,1983-10-03,1983,0.235,0.596,0.657,0.0139,0.102,-8.784,0.0345,175.263,0.774,0.0,4.0,69,False,"album rock, art rock, classic rock, hard rock, mellow gold, new romantic, progressive rock, rock, soft rock, symphonic rock"
4LcrHUkRmXG3c0YD5VYutn,At The Hop,Danny & The Juniors,150866,1983-01-01,1983,0.693,0.407,0.826,1.57e-05,0.285,-8.29,0.0495,192.21,0.891,1.0,8.0,57,False,"doo-wop, rhythm and blues, rock-and-roll, rockabilly"
1qV6e4ITnfGmA6m6Vklvbi,Our House,Madness,201133,1983-01,1983,0.0285,0.601,0.649,7.71e-05,0.127,-10.57,0.0554,121.66,0.708,1.0,7.0,58,False,"britpop, new romantic, new wave, ska, ska revival"
4VFNyv0nVew5C878WDsPvE,Shout at the Devil,Mötley Crüe,194986,1983-09-26,1983,0.0221,0.5,0.946,4.21e-05,0.068,-5.428,0.072,94.542,0.449,1.0,5.0,66,False,"album rock, alternative metal, glam metal, hard rock, metal, rock, sleaze rock"
2CIDqYfIYfl9vx02wIyCG9,All Through the Night,Cyndi Lauper,272840,1983-10-14,1983,0.201,0.573,0.65,1.58e-06,0.048,-5.934,0.0257,95.1,0.346,1.0,8.0,60,False,"dance pop, new wave pop, permanent wave, soft rock"
1Gg14U26oq94uWcG7khccX,An Innocent Man,Billy Joel,318000,1983-08-08,1983,0.0466,0.509,0.382,0.0,0.112,-9.441,0.0351,105.764,0.427,1.0,0.0,52,False,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock"
3cbV252akVZInSvJk7jAYX,Flashdance...What a Feeling - Radio Edit,Irene Cara,237053,1983-11-02,1983,0.00579,0.572,0.655,3.41e-06,0.0901,-7.027,0.0344,122.49,0.392,0.0,7.0,77,False,"disco, new romantic, new wave pop, soft rock"
29uKzagduhFDTWPCjqaGOg,Gimme All Your Lovin',ZZ Top,241080,1983-03-23,1983,0.00313,0.63,0.788,0.0233,0.0883,-6.7,0.0298,120.058,0.629,1.0,5.0,69,False,"album rock, blues rock, classic rock, hard rock, rock"
1a2iF9XymafjRk56q7oCxo,Pride and Joy,Stevie Ray Vaughan,219586,1983,1983,0.0274,0.427,0.626,0.00395,0.106,-11.821,0.0385,126.877,0.743,1.0,8.0,66,False,"album rock, blues, blues rock, classic rock, electric blues, hard rock, instrumental rock, rock, texas blues"
1vgSaC0BPlL6LEm4Xsx59J,An Ending (Ascent) - Remastered 2005,Brian Eno,266200,1983-07-01,1983,0.932,0.257,0.0906,0.985,0.0786,-25.381,0.07,67.46,0.0451,1.0,8.0,55,False,"abstract, ambient, art pop, art rock, compositional ambient, experimental, experimental ambient, fourth world, glam rock, minimalism, singer-songwriter"
0bM1z18RQpr61UuI1LemIK,Dixieland Delight,Alabama,322093,1983,1983,0.163,0.444,0.414,2.07e-05,0.053,-15.04,0.0325,95.73,0.573,1.0,2.0,64,False,"contemporary country, country, country road, country rock"
61dYvvfIRtIDFuqZypPAta,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Johann Sebastian Bach, Yo-Yo Ma",151733,1983,1983,0.895,0.218,0.111,0.834,0.165,-21.375,0.0688,77.423,0.27,1.0,7.0,64,False,"baroque, classical, early music, german baroque"
400ZJAUFuEuIGXhr7ie4xf,Wrapped Around Your Finger - Remastered 2003,The Police,313706,1983-06-17,1983,0.0904,0.747,0.448,0.000185,0.0631,-11.522,0.0345,127.689,0.608,0.0,9.0,60,False,"album rock, classic rock, permanent wave, rock"
7gaQtc0vrSpmRJpSMDiPEk,All Night Long (All Night),Lionel Richie,383440,1983,1983,0.111,0.716,0.556,0.0076,0.0422,-13.917,0.0406,108.828,0.8,1.0,1.0,53,False,soft rock
2E7W1X4maFFcjHrVrFA7Vs,Bark at the Moon,Ozzy Osbourne,257120,1983-12-10,1983,0.00253,0.303,0.961,6.2e-05,0.132,-5.333,0.243,146.591,0.305,0.0,9.0,63,False,"album rock, alternative metal, birmingham metal, classic rock, glam metal, hard rock, metal, rock"
5mKqa89zAVKXMRY92haT6p,Almost Over You,Sheena Easton,221493,1983-01-10,1983,0.85,0.341,0.274,0.0,0.244,-10.67,0.03,138.992,0.304,1.0,8.0,62,False,"mellow gold, minneapolis sound, new romantic, new wave pop, soft rock"
7IJuVH1YPmWEKemtZigmHK,A Esa,Pimpinela,187400,1983,1983,0.242,0.354,0.531,0.0,0.203,-10.565,0.109,169.735,0.439,0.0,11.0,62,False,"cancion melodica, latin pop, ranchera"
5u8bqfaYSh0qVTsgslPknf,Never Gonna Let You Go,Sérgio Mendes,255600,1983,1983,0.567,0.639,0.403,0.0,0.67,-12.401,0.0349,132.56,0.324,1.0,7.0,62,False,"bossa nova, brazilian jazz, samba"
1pTw2cNrp9L3esxLAvWnN2,Separate Ways (Worlds Apart) [2023 Remaster],Journey,323453,1983-02-01,1983,0.141,0.469,0.96,1.81e-06,0.334,-4.809,0.0629,131.707,0.37,0.0,4.0,72,False,"album rock, classic rock, hard rock, mellow gold, rock, soft rock"
3sIsG7vDZr17BVimMeZZQS,Adult Education,Daryl Hall & John Oates,323613,1983,1983,0.0371,0.66,0.749,3.74e-05,0.042,-7.282,0.0372,91.464,0.932,0.0,9.0,51,False,"album rock, classic rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock"
5DH7nDryMhpixm4G4B7RP9,The Longest Time,Billy Joel,217906,1983-08-08,1983,0.181,0.637,0.333,0.0,0.147,-9.603,0.0262,84.347,0.588,1.0,3.0,64,False,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock"
0GTK6TesV108Jj5D3MHsYb,Owner of a Lonely Heart,Yes,268506,1983-06-01,1983,0.176,0.744,0.798,0.0037,0.26,-5.981,0.0364,125.059,0.898,1.0,7.0,70,False,"album rock, art rock, classic rock, hard rock, progressive rock, rock, soft rock, symphonic rock"
38TuEl4QqLM1VtJ5LK6FK0,Automatic,The Pointer Sisters,287013,1983-04-01,1983,0.0934,0.803,0.656,0.0,0.324,-7.53,0.0556,110.544,0.926,1.0,5.0,49,False,"disco, girl group, hi-nrg, motown, new wave pop, soft rock"
2AmEv442DGwSxMGZ9XEvBA,Rock Of Ages,Def Leppard,247828,1983-01-20,1983,0.00802,0.706,0.785,0.0319,0.195,-7.666,0.041,105.893,0.636,0.0,11.0,63,False,"album rock, classic rock, glam metal, hard rock, nwobhm, rock"
1ChulFMnwxoD74Me8eX2TU,You Spin Me Round (Like a Record),Dead Or Alive,195146,1983,1983,0.000244,0.554,0.963,0.0702,0.431,-3.762,0.035,128.175,0.918,0.0,6.0,74,False,"hi-nrg, new romantic, new wave pop, synthpop"
5uRsBdLhn91AYcsTCOGNOC,Sunglasses At Night,Corey Hart,320000,1983,1983,0.505,0.665,0.624,0.0104,0.518,-11.106,0.049,127.083,0.717,0.0,10.0,57,False,"album rock, new romantic, new wave pop, soft rock, synthpop"
7JOyY9GA3P2Evx50oetDKb,Tonight I Celebrate My Love,"Peabo Bryson, Roberta Flack",211000,1983-07-22,1983,0.803,0.482,0.211,1.36e-05,0.154,-14.518,0.0318,116.902,0.158,1.0,3.0,65,False,quiet storm
6Tjr3224DVeSWdq6dXgD6A,The Antichrist,Slayer,169533,1983-12-03,1983,6.09e-06,0.342,0.937,0.582,0.221,-6.756,0.0726,119.48,0.368,1.0,0.0,49,False,"alternative metal, death metal, groove metal, hard rock, metal, old school thrash, rock, speed metal, thrash metal"
3pecdrUzTZjaqrw6iCLTvd,Heart And Soul,Huey Lewis & The News,253253,1983,1983,0.00327,0.66,0.805,1.43e-05,0.0986,-8.01,0.0324,122.039,0.944,1.0,2.0,57,False,"album rock, classic rock, hard rock, mellow gold, new romantic, new wave pop, rock, singer-songwriter, soft rock"
78RIER8V6EhrqVPOBi2GYa,Here Comes the Rain Again - Remastered Version,"Eurythmics, Annie Lennox, Dave Stewart",294586,1983-11-14,1983,0.0139,0.648,0.755,0.000253,0.225,-7.901,0.03,126.341,0.607,1.0,0.0,65,False,"dance rock, new romantic, new wave, new wave pop, soft rock, sophisti-pop, synthpop"
3FYDqY5BRtx3IVSaiQZSze,悲しみがとまらない　I CAN'T STOP THE LONELINESS,Anri,263706,1983-12-05,1983,0.183,0.684,0.843,1.67e-05,0.0635,-4.256,0.0296,132.027,0.885,1.0,9.0,65,False,classic city pop
3qj9xXicCx56sH2lbokM9K,A Dream,DeBarge,264226,1983-09-24,1983,0.378,0.651,0.294,5.51e-05,0.0669,-12.665,0.0366,144.493,0.554,0.0,0.0,41,False,"contemporary r&b, funk, quiet storm, urban contemporary"
6kCJMxv445L2okuTiou1fR,Tell Her About It,Billy Joel,229200,1983-08-08,1983,0.00777,0.565,0.894,0.0,0.49,-5.241,0.175,182.262,0.737,1.0,8.0,57,False,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock"
1tAFvq63jO3n9WaDCZPJNh,In A Big Country,Big Country,284066,1983-07-15,1983,0.00184,0.641,0.775,0.177,0.0948,-6.419,0.0498,126.174,0.854,1.0,9.0,53,False,"new romantic, new wave, new wave pop, scottish new wave, scottish rock"
