id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,genre
4rlQza35DE4Prh5yonxnCs,After Midnight,Chappell Roan,204857,2023-09-22,2023,0.0248,0.708,0.891,0.0,0.0578,-3.826,0.0777,110.058,0.84,1.0,0.0,81,False,"indie pop, pov: indie"
2YVlDlk2zRceefo6XlC6DX,Ain’t That Some,Morgan Wallen,158003,2023-03-03,2023,0.00154,0.64,0.811,9.34e-06,0.363,-5.834,0.0279,121.089,0.686,0.0,6.0,79,True,contemporary country
505v13epFXodT9fVAJ6h8k,AMARGURA,KAROL G,170480,2023-02-24,2023,0.163,0.912,0.7,0.0,0.174,-3.331,0.068,106.981,0.535,0.0,6.0,87,True,"reggaeton, reggaeton colombiano, urbano latino"
0hkoQgoqic1qQtxPOudmrx,Amor,emmanuellcortess_,202058,2023-07-28,2023,0.208,0.717,0.502,1.31e-05,0.12,-6.329,0.0479,180.01,0.424,1.0,2.0,83,False,
75SAnNqcLsh5rg17isiPM8,Arkansas Diamond,Waylon Wyatt,183477,2023-12-22,2023,0.856,0.575,0.286,0.0,0.179,-6.768,0.0322,141.574,0.591,1.0,9.0,73,False,
7dJYggqjKo71KI9sLzqCs8,Agora Hills,Doja Cat,265360,2023-09-22,2023,0.228,0.75,0.674,8.91e-05,0.122,-6.128,0.097,123.026,0.392,0.0,8.0,78,True,"dance pop, pop"
34sOdxWu9FljH84UXdRwu1,all-american bitch,Olivia Rodrigo,165833,2023-09-08,2023,0.218,0.421,0.695,2.97e-06,0.155,-4.346,0.0428,156.344,0.45,1.0,6.0,76,True,pop
180AbZduI6bYQIzwCHRwu9,A Night To Remember,"beabadoobee, Laufey",233388,2023-10-20,2023,0.498,0.726,0.624,0.0294,0.0909,-7.799,0.0277,114.99,0.573,0.0,2.0,75,False,"bedroom pop, bubblegrunge, indie pop, pov: indie"
63HwAAXuSV2tzIUPoHOwZa,Atmosphere,"FISHER, Kita Alexander",182857,2023-08-11,2023,0.00623,0.762,0.895,0.142,0.204,-4.562,0.0734,125.985,0.757,1.0,8.0,75,False,"australian house, house"
5etrSAugIe3FXuG6em9Atj,All Again,Charles Wesley Godwin,228346,2023-09-22,2023,0.204,0.511,0.456,0.000672,0.129,-9.24,0.0256,92.088,0.544,1.0,8.0,70,True,modern country pop
5PyDJG7SQRgWXefgexqIge,Agora Hills,Doja Cat,265360,2023-09-20,2023,0.183,0.755,0.687,0.000177,0.125,-6.247,0.101,123.01,0.381,0.0,8.0,76,True,"dance pop, pop"
2LlOeW5rVcvl3QcPNPcDus,Always,Daniel Caesar,225312,2023-04-07,2023,0.666,0.578,0.436,1.9e-06,0.106,-8.202,0.0461,135.86,0.199,1.0,2.0,79,True,canadian contemporary r&b
61eJ7HqXGyHfmHIqJApX7v,Already Rich,Yeat,145528,2023-05-03,2023,0.00201,0.767,0.798,0.00372,0.125,-7.653,0.111,135.748,0.224,1.0,1.0,73,True,"pluggnb, rage rap"
6Ec5LeRzkisa5KJtwLfOoW,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Metro Boomin, A$AP Rocky, Roisee",256026,2023-06-02,2023,0.0468,0.6,0.537,0.0038,0.206,-7.777,0.0362,90.061,0.126,0.0,9.0,76,False,rap
1sXr6moCwVxwKEgSPxhVvF,Apaga El Cel,"Calle 24, Chino Pacas",170832,2023-12-22,2023,0.101,0.744,0.842,2.43e-06,0.148,-6.576,0.0358,125.258,0.814,0.0,10.0,77,False,"corrido, corridos tumbados, sad sierreno, sierreno"
0FxtC8uFapbpDBliAU3sd6,AMG,"Natanael Cano, Peso Pluma, Gabito Ballesteros",174942,2023-06-30,2023,0.152,0.772,0.73,0.000107,0.274,-6.657,0.0972,136.175,0.786,0.0,11.0,76,True,"corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno"
1cF5gDFBHOprIKwzFORNjH,Ain't Doin' Jack,Josh Ross,160680,2023-07-14,2023,0.0171,0.586,0.884,0.0,0.108,-4.105,0.0448,129.938,0.665,1.0,11.0,70,False,modern country pop
0qCPD6ilr9nXkI4KVZgcns,Abcdario,"Eden Muñoz, Junior H",220650,2023-05-13,2023,0.783,0.703,0.429,1.48e-06,0.113,-9.076,0.0308,129.034,0.416,1.0,8.0,75,False,"banda, corrido, musica mexicana, norteno, sierreno"
1bJ6NK9YM22hIkV20eQQkj,Ain't No Cure,Gavin Adcock,187648,2023-05-19,2023,0.197,0.655,0.522,0.0,0.088,-5.879,0.0421,77.983,0.118,1.0,1.0,67,False,modern country pop
7sliFe6W30tPBPh6dvZsIH,Area Codes,Kaliii,139325,2023-03-17,2023,0.0187,0.823,0.388,0.0,0.0876,-10.867,0.491,154.569,0.507,1.0,1.0,70,True,"rap, viral rap"
4HMop4Re0iucehmF7mgV27,act ii: date @ 8,4batz,113684,2023-12-15,2023,0.51,0.741,0.451,2.01e-05,0.403,-13.117,0.101,136.48,0.558,1.0,0.0,70,True,
5cWgwbui8BasfjCXvBZ7UA,Alch Si,"Carin Leon, Grupo Frontera",153953,2023-11-30,2023,0.14,0.778,0.739,0.0,0.335,-4.969,0.0385,119.99,0.847,1.0,9.0,76,False,"corrido, musica mexicana, sad sierreno, sierreno"
6cLrGfKIIRHYQw7S0mCDhA,All That Really Matters,"ILLENIUM, Teddy Swims",244235,2023-04-28,2023,0.117,0.352,0.666,1.81e-06,0.0934,-4.909,0.0512,169.965,0.227,1.0,1.0,73,False,"edm, melodic dubstep, pop dance"
6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),"Lil Durk, J. Cole",223878,2023-05-12,2023,0.0449,0.787,0.57,0.0,0.135,-5.881,0.225,142.974,0.733,1.0,3.0,71,True,"chicago drill, chicago rap, drill, hip hop, pop rap, rap, trap"
3FjK86616FbluOfTxNK2gY,A N X I E T Y (feat. Doechii),"Sleepy Hallow, Doechii",148928,2023-09-15,2023,0.399,0.931,0.401,2.05e-06,0.266,-8.756,0.158,128.871,0.613,1.0,0.0,69,True,"brooklyn drill, nyc rap"
21eMasL93nEafqRwlI851z,The Apparition,Sleep Token,268159,2023-05-19,2023,0.0112,0.452,0.687,6.41e-05,0.294,-6.939,0.0456,137.98,0.215,0.0,1.0,69,False,prog metal
39MK3d3fonIP8Mz9oHCTBB,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Metro Boomin, Swae Lee, Lil Wayne, Offset",231746,2023-06-02,2023,0.22,0.591,0.5,0.0,0.175,-6.206,0.0529,145.819,0.201,0.0,11.0,72,False,rap
0ItgotO5txriRAp6lXMHJ7,A TU NOMBRE,Junior H,247783,2023-10-05,2023,0.439,0.527,0.72,0.0,0.384,-6.181,0.0478,120.129,0.527,0.0,5.0,75,True,"corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno"
6X5WZbJzXtk6aO03HlxuZ9,Así Lo Quiso Dios,"Eslabon Armado, Luis R Conriquez",205299,2023-04-28,2023,0.302,0.698,0.664,0.0,0.268,-4.027,0.0406,144.981,0.747,0.0,8.0,70,False,"corrido, corridos tumbados, sad sierreno, sierreno"
3XqM8hLCEYlbnFjoWwqtFv,Angel Numbers / Ten Toes,Chris Brown,306847,2023-11-10,2023,0.192,0.406,0.5,0.0,0.175,-8.452,0.0501,157.984,0.0905,0.0,4.0,78,True,"r&b, rap"
4sX6GorfHFAy9UdJM00c3v,"A Little Trauma Can Be Illuminating, And I'm Shining Like The Sun",$uicideboy$,133920,2023-08-11,2023,0.023,0.79,0.724,0.0,0.448,-3.622,0.0353,140.009,0.148,1.0,8.0,67,True,"cloud rap, dark trap, new orleans rap, underground hip hop"
4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,125040,2023-06-16,2023,0.119,0.847,0.622,0.0,0.285,-6.747,0.0903,130.001,0.22,0.0,1.0,86,True,"atl hip hop, melodic rap, rap, trap"
53UMRr4KOgZP5Ins0aGlhs,Always Been You,Jessie Murph,131824,2023-02-10,2023,0.646,0.655,0.572,1.81e-06,0.0774,-7.666,0.0535,137.12,0.403,0.0,3.0,68,False,"modern country pop, singer-songwriter pop"
2Yc3MHpZ9R5UCIz78E20AQ,ALAKRAN,Feid,90613,2023-12-01,2023,0.039,0.692,0.633,4.09e-05,0.118,-3.085,0.0721,98.088,0.319,0.0,7.0,76,False,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
3ZaEs1O8BG581qYPHpQ8d6,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),"A$AP Rocky, Imogen Heap, Clams Casino",190285,2023-08-18,2023,0.0831,0.47,0.652,4.08e-05,0.175,-9.629,0.0561,141.981,0.104,1.0,2.0,83,True,"east coast hip hop, hip hop, rap"
6FMQWkWAyA5iN3j0NiW1T2,A Cigarette,Gavin Adcock,179900,2023-11-17,2023,0.854,0.609,0.15,2.04e-06,0.128,-11.943,0.0284,135.912,0.214,1.0,7.0,64,False,modern country pop
6T7FXSuXykeGktMLGp8WgE,All My Life (feat. J. Cole),"Lil Durk, J. Cole",223878,2023-05-26,2023,0.0449,0.787,0.57,0.0,0.135,-5.881,0.225,142.974,0.733,1.0,3.0,69,True,"chicago drill, chicago rap, drill, hip hop, pop rap, rap, trap"
7MwkYzOeTZG3rtNWo6D7kK,Altar,"Hulvey, Forrest Frank",214850,2023-03-31,2023,0.0185,0.661,0.731,0.0,0.195,-4.421,0.0474,144.058,0.441,0.0,5.0,67,False,
2Z1eWq9VOXkCzUmcU6uoNe,Ascensionism,Sleep Token,428713,2023-05-19,2023,0.0736,0.549,0.544,0.00121,0.145,-7.929,0.0379,117.029,0.0834,0.0,0.0,67,False,prog metal
4HmE2Qs4HHAtqc1UBNIMtz,AINT NOTHING,Rich Amiri,154879,2023-11-17,2023,0.00254,0.656,0.755,0.0,0.0609,-5.996,0.054,130.255,0.444,1.0,7.0,66,True,rage rap
2JIzOc3HHo4MhiyZzhpBUV,Automotivo Bibi Fogosa,"Bibi Babydoll, Dj Brunin XM, KZA Produções",129798,2023-11-10,2023,0.26,0.721,0.848,2.11e-06,0.097,-3.371,0.0266,135.048,0.774,1.0,9.0,77,False,latin tek
5ub6Cb5yKmgGGwjvqZM1gI,Aqua Regia,Sleep Token,236020,2023-05-19,2023,0.169,0.635,0.461,4.24e-06,0.0829,-9.46,0.0328,126.044,0.145,0.0,6.0,67,False,prog metal
32hCeeK3ayPux4UauNPsgA,ALV,"Arcángel, Grupo Frontera",224285,2023-11-17,2023,0.299,0.6,0.831,0.0,0.234,-3.858,0.0476,178.245,0.652,1.0,5.0,74,False,"latin hip hop, reggaeton, trap latino, urbano latino"
