id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,genre
4joiWvli4qJVEW6qZV2i2J,All My Loving - Remastered 2009,The Beatles,127853,1963-11-22,1963,0.207,0.416,0.563,0.0,0.343,-8.724,0.0298,77.56,0.9,0,1,71,False,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
5ZBeML7Lf3FMEVviTyvi8l,Twist And Shout - Remastered 2009,The Beatles,155226,1963-03-22,1963,0.641,0.482,0.849,7.74e-06,0.0414,-9.198,0.0452,124.631,0.937,1,2,78,False,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
7ny2ATvjtKszCpLpfsGnVQ,A Hard Rain's A-Gonna Fall,Bob Dylan,412200,1963-05-27,1963,0.919,0.567,0.198,0.000871,0.135,-18.681,0.0327,92.467,0.321,1,4,54,False,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter"
0E8q2Fx2XuzXCO2NSAppkR,In A Sentimental Mood,"Duke Ellington, John Coltrane",255226,1963-02,1963,0.936,0.464,0.305,0.0848,0.208,-12.435,0.0316,107.854,0.281,0,3,65,False,"african-american classical, harlem renaissance, jazz, jazz piano, swing, vocal jazz"
2baEFuU0gQon0hgVRioI1o,Anna (Go To Him) - Remastered 2009,The Beatles,177133,1963-03-22,1963,0.635,0.608,0.565,0.0,0.0601,-11.06,0.0336,109.286,0.835,1,2,54,False,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
4ol2UyMTiklHVujAWg02nE,I Got It Bad And That Ain't Good,Oscar Peterson Trio,306226,1963-01-01,1963,0.971,0.507,0.0527,0.911,0.0882,-27.332,0.0481,49.246,0.196,1,5,59,False,"bebop, contemporary post-bop, jazz, jazz trio"
5tztLBvTlNC15Np2tnQ5Ll,All I've Got To Do - Remastered 2009,The Beatles,122573,1963-11-22,1963,0.217,0.49,0.579,0.0,0.0644,-10.301,0.0344,119.403,0.879,0,1,50,False,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
5gPetRvxQKyOjjwZX1dzbt,All The Things You Are,"Ella Fitzgerald, Nelson Riddle",195666,1963-01-01,1963,0.938,0.45,0.154,4.37e-06,0.16,-14.485,0.0373,110.666,0.243,1,1,49,False,"adult standards, jazz, jazz blues, soul, swing, vocal jazz"
6TZXXZZi1N0ZeMYdxdVWeY,Abbronzatissima,Edoardo Vianello,149493,1963,1963,0.481,0.718,0.503,0.0,0.0631,-9.762,0.0558,127.583,0.611,1,7,42,False,classic italian pop
5CEREcGR5WaLt40YzTQ62e,You'll Lose A Good Thing,Barbara Lynn,159866,1963-01-01,1963,0.606,0.591,0.324,0.000144,0.172,-13.218,0.0302,104.15,0.617,0,2,61,False,"classic soul, motown, rhythm and blues, southern soul"
7529Z6b1rlGZFFPWjHPeV5,Ask Me Why - Remastered 2009,The Beatles,146533,1963-03-22,1963,0.767,0.605,0.394,0.0,0.0967,-11.33,0.0378,133.942,0.597,1,4,49,False,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
5bA26v8eeZrbHJpD4YPKAX,Abilene,George Hamilton IV,133333,1963-12-17,1963,0.445,0.63,0.448,1.43e-05,0.271,-15.015,0.0271,104.024,0.753,1,5,42,False,traditional country
6vXZs9rEQF7Nd6O8Ue7NrT,Are You Lonesome Tonight,Elvis Presley,187026,1963-08-11,1963,0.918,0.355,0.0922,0.000702,0.106,-17.747,0.0515,65.952,0.191,1,7,49,False,"rock-and-roll, rockabilly"
5hslUAKq9I9CG2bAulFkHN,It's the Most Wonderful Time of the Year,Andy Williams,151933,1963-11-24,1963,0.766,0.24,0.598,0.0,0.117,-8.435,0.0369,201.629,0.776,1,7,61,False,"adult standards, easy listening"
7fh53ta3vAOGJMQ4i5tCHe,A Taste Of Honey - Remastered 2009,The Beatles,123480,1963-03-22,1963,0.698,0.42,0.372,0.0,0.104,-11.416,0.0327,101.408,0.412,0,1,47,False,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
7GNsHkiYPcQQjvhTiILFUL,A Marshmallow World,Darlene Love,143133,1963,1963,0.748,0.316,0.78,2.18e-05,0.317,-6.988,0.0517,154.636,0.653,1,5,40,False,
7tU0xSzV3kJOLSt70iLNi6,Amore fermati,Fred Bongusto,152571,1963-01-01,1963,0.807,0.537,0.316,0.0,0.319,-6.182,0.0294,87.043,0.689,0,9,53,False,classic italian pop
0QbRfr3pJtHGxhIpIMYmbN,Young At Heart,Frank Sinatra,174466,1963-08,1963,0.842,0.285,0.113,0.0,0.312,-21.134,0.0342,79.947,0.303,1,7,56,False,"adult standards, easy listening, lounge"
2WOjLF83vqjit2Zh4B69V3,"Don't Think Twice, It's All Right",Bob Dylan,217400,1963-05-27,1963,0.89,0.6,0.243,0.0022,0.249,-17.085,0.0366,110.535,0.468,1,4,67,False,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter"
3lrcl8bNSUkHMjHEtP5yC1,Autumn Serenade,"John Coltrane, Johnny Hartman",259866,1963-01-01,1963,0.813,0.571,0.25,0.000857,0.0936,-13.939,0.0433,114.724,0.752,0,5,40,False,"bebop, free jazz, jazz, jazz saxophone, vocal jazz"
1IcR6RlgvDczfvoWJSSY2A,It's the Most Wonderful Time of the Year,Andy Williams,151000,1963,1963,0.871,0.234,0.526,2.34e-06,0.122,-11.656,0.0411,201.739,0.649,1,2,48,False,"adult standards, easy listening"
1pUTz92GnH4vzWHSOyRLu5,Abilene,Bobby Bare,133346,1963-12-11,1963,0.774,0.662,0.377,0.00174,0.222,-12.808,0.0266,101.09,0.709,1,5,40,False,"classic country pop, outlaw country"
4C76SOnBa9eQDwOwe11hPz,Walk Like a Man,Frankie Valli & The Four Seasons,137933,1963-02-01,1963,0.605,0.681,0.64,0.0,0.0641,-10.364,0.0346,117.884,0.966,1,3,57,False,"adult standards, bubblegum pop, doo-wop, lounge, northern soul, rock-and-roll, rockabilly"
